EXPERIMENT_ID,DEVICE,MODEL,SEQUENCES,FEATURES,NORMALIZATION,OPTIMIZER,SCHEDULER,THRESHOLD_METHOD,TERMINATION_CRITERIA,PRECISION,VOXEL_SIZE,MIOU,RECALL,F1_SCORE,ACCURACY,TP,FP,TN,FN,BEST_EPOCH,NUM_EPOCHS,DURATION
240622122617,cuda:1,MinkUNet34C,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2]",False,adam,plateau,pr,loss,0.11496828954270183,0.01,0.10370617301209224,0.5142506732076679,0.18792351723298018,0.7244061553518761,19288,148480,418885,18219,4,13,1:16:27.317008
240622134245,cuda:1,MinkUNet34C,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2]",False,adam,plateau,pr,loss,0.7798859225223798,0.05,0.5156078143822344,0.6034202703116859,0.6803974082073434,0.96873970144108,19689,5557,553523,12940,9,18,1:45:04.593344
240622152751,cuda:1,MinkUNet34C,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2]",False,adam,plateau,pr,loss,0.9453816536339459,0.1,0.791578037755916,0.8295137921426581,0.8836657081903347,0.9895869311086904,23817,1376,572136,4895,11,20,2:04:46.242539
240622173239,cuda:1,MinkUNet34C,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2]",False,adam,plateau,pr,loss,0.9828425332676195,0.15,0.880678995307756,0.8944299610349564,0.936554295023262,0.9925696754067085,31907,557,545575,3766,6,15,1:34:05.382151
240622190645,cuda:1,MinkUNet34C,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[4, 5, 6]",False,adam,plateau,pr,loss,0.37936543528224675,0.01,0.2483577378986385,0.4183279245866172,0.3978951391236606,0.9354976364512442,13535,22143,580564,18820,5,14,1:21:42.970492
240622202829,cuda:1,MinkUNet34C,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[4, 5, 6]",False,adam,plateau,pr,loss,0.8189036261864201,0.05,0.6342836946277097,0.7377696165757667,0.7762222638734699,0.9731582042058661,26919,5953,535800,9568,17,26,2:27:55.623561
240622225626,cuda:1,MinkUNet34C,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[4, 5, 6]",False,adam,plateau,pr,loss,0.9642067406993415,0.1,0.8657328620674608,0.8944793850454228,0.9280351755268142,0.9903314548222537,39680,1473,590663,4681,21,30,3:05:34.165057
240623020201,cuda:1,MinkUNet34C,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[4, 5, 6]",False,adam,plateau,pr,loss,0.8811067663218334,0.15,0.8199069596057298,0.9219017038686623,0.9010427211986233,0.9929779190574967,17801,2402,535104,1508,24,33,3:19:18.210710
240623052120,cuda:1,MinkUNet34C,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2, 4, 5, 6]",False,adam,plateau,pr,loss,0.1253612379975762,0.01,0.10515306720882042,0.3947889908256881,0.19029593334866363,0.8599225481090692,10758,75058,551259,16492,14,23,2:08:46.487310
240623073008,cuda:1,MinkUNet34C,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2, 4, 5, 6]",False,adam,plateau,pr,loss,0.7228392841082831,0.05,0.5737716621156146,0.7356077246933919,0.7291676117033341,0.9625327497215294,32149,12327,581379,11555,10,19,1:51:25.972609
240623092135,cuda:1,MinkUNet34C,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2, 4, 5, 6]",False,adam,plateau,pr,loss,0.9470615034168565,0.1,0.873274147926177,0.9180897420798493,0.9323506107132713,0.9922742413817242,31182,1743,549996,2782,16,25,2:40:32.745351
240623120209,cuda:1,MinkUNet34C,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2, 4, 5, 6]",False,adam,plateau,pr,loss,0.9461363492765528,0.15,0.8306706606756532,0.8719031121721157,0.9075042043543476,0.9903511516979128,29949,1705,596664,4400,23,32,3:18:12.668063
240623152022,cuda:1,MinkUNet34C,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2, 7]",False,adam,plateau,pr,loss,0.5476435045317221,0.01,0.4080727583800455,0.6155596305351807,0.5796188527211102,0.9598986714738237,18127,14973,611268,11321,7,16,1:32:42.491014
240623165306,cuda:1,MinkUNet34C,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2, 7]",False,adam,plateau,pr,loss,0.9225431983454533,0.05,0.8173301415610131,0.8775503728383309,0.899484494170068,0.9898232529039375,27656,2322,573528,3859,18,27,2:34:11.487707
240623192718,cuda:1,MinkUNet34C,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2, 7]",False,adam,plateau,pr,loss,0.9802357836338419,0.1,0.894579811039284,0.9110118773593592,0.9443569553805775,0.9919060799847285,39578,798,531993,3866,11,20,2:12:39.015152
240623213958,cuda:1,MinkUNet34C,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2, 7]",False,adam,plateau,pr,loss,0.9509653330812676,0.15,0.9093415284494057,0.954076673226013,0.9525184624124219,0.9933578578263705,40242,2075,559768,1937,27,36,3:43:30.419267
240624012447,cuda:1,MinkUNet34C,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",[7],False,adam,plateau,pr,loss,0.4180548704132357,0.01,0.3548490997519889,0.7012284386735408,0.5238208444275391,0.9342123630176917,22034,30672,546835,9388,15,24,2:13:40.842696
240624033829,cuda:1,MinkUNet34C,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",[7],False,adam,plateau,pr,loss,0.8845672720533728,0.05,0.8005241090146751,0.8939064072851558,0.8892123187983932,0.9841416930971781,38185,4983,552301,4532,13,22,2:07:13.917968
240624054544,cuda:1,MinkUNet34C,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",[7],False,adam,plateau,pr,loss,0.9425647158131683,0.1,0.8327325834317321,0.8772463910438967,0.9087333208999507,0.9916454167746621,26799,1633,612135,3750,7,16,1:48:55.810846
240624073441,cuda:1,MinkUNet34C,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",[7],False,adam,plateau,pr,loss,0.970065425865623,0.15,0.9173117125261314,0.9440341900220955,0.9568727990687942,0.9948737976980252,32471,1002,535590,1925,21,30,3:09:02.183772
240624105151,cuda:1,MinkUNet34C,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2]",False,adam,plateau,roc,loss,0.34789699840040145,0.05,0.32606906283071374,0.838630005796517,0.49178292740600615,0.8943628764827766,33276,62373,549007,6403,6,15,1:28:28.870595
240624122022,cuda:1,MinkUNet34C,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2]",False,adam,plateau,roc,loss,0.7413557076617355,0.1,0.6965830584427709,0.9202181598925645,0.821159983858542,0.9759000606412149,33576,11714,558647,2911,5,14,1:31:27.292531
240624135150,cuda:1,MinkUNet34C,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2]",False,adam,plateau,roc,loss,0.6792290937891888,0.15,0.6316080196399345,0.9000874635568513,0.7742153900166765,0.9694821438255871,30873,14580,541168,3427,11,20,2:01:44.039754
240624155335,cuda:1,MinkUNet34C,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[4, 5, 6]",False,adam,plateau,roc,loss,0.3667479899527684,0.05,0.35758143895008204,0.9346687494257099,0.5267918795746444,0.9101005678566568,30516,52691,524497,2133,18,27,2:31:45.925549
240624182522,cuda:1,MinkUNet34C,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[4, 5, 6]",False,adam,plateau,roc,loss,0.7714621141711099,0.1,0.7522178765620529,0.967902295323432,0.8585894329967063,0.9831870493352493,31542,9344,576044,1046,27,36,3:37:57.808148
240627170634,cuda:1,MinkUNet34C,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[4, 5, 6]",False,adam,plateau,roc,loss,0.8752558157000432,0.15,0.8555147733529088,0.9743134222296534,0.9221319987735765,0.9870357196962212,46617,6644,552794,1229,11,20,2:17:15.081567
240627192350,cuda:1,MinkUNet34C,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2, 4, 5, 6]",False,adam,plateau,roc,loss,0.49694924055562767,0.05,0.4598129157219862,0.8602005561641527,0.6299614296734379,0.9402872360377825,30624,31000,535900,4977,11,20,2:19:50.653578
240627214342,cuda:1,MinkUNet34C,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2, 4, 5, 6]",False,adam,plateau,roc,loss,0.8076001369394044,0.1,0.7773933102652826,0.9540950455005056,0.8747566515249839,0.9837761148452753,33026,7868,540423,1589,13,22,2:49:53.969578
240628003337,cuda:1,MinkUNet34C,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2, 4, 5, 6]",False,adam,plateau,roc,loss,0.6406444234498533,0.15,0.6063772208495117,0.9189401233907493,0.75496242473961,0.9716756046471854,25768,14454,548056,2273,10,19,2:26:19.310920
240628025957,cuda:1,MinkUNet34C,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2, 7]",False,adam,plateau,roc,loss,0.7015435167970946,0.05,0.6731383530387887,0.9432624113475178,0.8046415908358334,0.9712396446842256,32452,13806,499697,1952,19,28,3:14:32.763361
240628061431,cuda:1,MinkUNet34C,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2, 7]",False,adam,plateau,roc,loss,0.9463111839127529,0.1,0.9209825267971389,0.9717586649550706,0.9588661155941863,0.993582710968164,43906,2491,539335,1276,14,23,2:42:02.689894
240628195052,cuda:1,MinkUNet34C,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2, 7]",False,adam,plateau,roc,loss,0.602156477767074,0.15,0.5752406687161865,0.9278977811642081,0.7303527392865051,0.948393212222803,5411897,3575629,68026718,420531,9,18,2:10:20.702403
240628220115,cuda:1,MinkUNet34C,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",[7],False,adam,plateau,roc,loss,0.4480138000374835,0.05,0.432051443657443,0.923817319305099,0.6034021271665891,0.9085311993222683,5388098,6638536,64963811,444330,6,15,1:49:08.862090
240628235025,cuda:1,MinkUNet34C,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",[7],False,adam,plateau,roc,loss,0.7203905579054878,0.1,0.6883421912688344,0.9392935497874985,0.8154060176053846,0.9679676863528046,5478362,2126349,69475998,354066,9,18,2:12:02.923008
240629020228,cuda:1,MinkUNet34C,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",[7],False,adam,plateau,roc,loss,0.7207655419615675,0.15,0.6890856754100763,0.9400398941915785,0.8159274398473364,0.9680532164005126,5482715,2124079,69478268,349713,35,44,4:59:22.072312
240629070152,cuda:1,MinkUNet34C,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2]",False,adam,plateau,pr,precision,0.642814643412877,0.05,0.41775175148237803,0.5440377489443504,0.5893157967120599,0.9428873526138611,3173061,1763138,69839209,2659367,4,13,1:37:12.018625
240629083905,cuda:1,MinkUNet34C,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2]",False,adam,plateau,pr,precision,0.9216296758426611,0.1,0.7507089732872605,0.8018991404608853,0.8576056726066513,0.9799429003312788,4677019,397708,71204639,1155409,18,27,3:14:02.941960
240629115308,cuda:1,MinkUNet34C,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2]",False,adam,plateau,pr,precision,0.9145862889945847,0.15,0.7341479193752416,0.7881880410696883,0.8466958454613628,0.9785019198415699,4597050,429321,71173026,1235378,9,18,2:12:16.487211
240629140526,cuda:1,MinkUNet34C,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[4, 5, 6]",False,adam,plateau,pr,precision,0.7105148299650229,0.05,0.5495569856233565,0.7081062980974647,0.7093085194311591,0.9562841501121427,4129979,1682678,69919669,1702449,19,28,3:14:11.014978
240629171938,cuda:1,MinkUNet34C,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[4, 5, 6]",False,adam,plateau,pr,precision,0.9345894408022213,0.1,0.7957688124289435,0.8427029017760699,0.886270890686193,0.9837099287755404,4915004,343994,71258353,917424,33,35,4:10:28.569546
240629213008,cuda:1,MinkUNet34C,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[4, 5, 6]",False,adam,plateau,pr,precision,0.9304501457770161,0.15,0.7917473476106074,0.8415520945993675,0.8837711953824802,0.9833275940945138,4908292,366888,71235459,924136,13,22,2:30:29.307384
240630000043,cuda:1,MinkUNet34C,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2, 4, 5, 6]",False,adam,plateau,pr,precision,0.6872568297833241,0.05,0.4305255795928502,0.5354229833613033,0.6019124519470451,0.9466559953199322,3122816,1421069,70181278,2709612,6,15,3:35:32.035193
240630033617,cuda:1,MinkUNet34C,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2, 4, 5, 6]",False,adam,plateau,pr,precision,0.9273214653660888,0.1,0.7686517311241423,0.8179259135303514,0.869195124848681,0.9814576848709123,4770494,373886,71228461,1061934,15,21,16:43:38.440091
240701170828,cuda:1,MinkUNet34C,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2, 7]",False,adam,plateau,pr,precision,0.8458412170233938,0.05,0.6721739150058789,0.7660163143034084,0.8039521594899602,0.9718607047027643,4467735,814267,70788080,1364693,7,11,1:23:01.235438
240701183131,cuda:1,MinkUNet34C,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2, 7]",False,adam,plateau,pr,precision,0.9317538497603658,0.1,0.7981926150016506,0.847755343057814,0.8877720977637515,0.9838559226135802,4944472,362157,71240190,887956,17,21,2:29:52.469581
240701210124,cuda:1,MinkUNet34C,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 2, 7]",False,adam,plateau,pr,precision,0.9268680862440406,0.15,0.7944982580961806,0.8476344671550168,0.8854823397143666,0.983486295401517,4943767,390074,71212273,888661,14,15,1:48:38.839396
240701225004,cuda:1,MinkUNet34C,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",[7],False,adam,plateau,pr,precision,0.8105578871602386,0.05,0.6593463794070673,0.779462515439539,0.7947061416347213,0.9696675169521703,4546159,1062520,70539827,1286269,14,16,1:53:35.001116
240702004340,cuda:1,MinkUNet34C,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",[7],False,adam,plateau,pr,precision,0.9489813510944104,0.1,0.8277981848867693,0.8663541153015519,0.9057872928548188,0.9864255562181203,5052948,271654,71330693,779480,22,23,2:43:29.898009
